"FormID","ChemID","Chemical","Formulation","TG3ID","TherapeuticGrp3","TG2ID","TherapeuticGrp2","TG1ID","TherapeuticGrp1","BaseUnits","PropPharmPresc"
"182003","1820","Metronidazole","Oral liq benzoate 200 mg per 5 ml","161301","Antitrichomonal Agents","1613","Antitrichomonal Agents","16","Infections - Agents for Systemic Use","ml",96.8655389179579
"182005","1820","Metronidazole","Suppos 500 mg","161301","Antitrichomonal Agents","1613","Antitrichomonal Agents","16","Infections - Agents for Systemic Use","supp",85.7523782795667
"182001","1820","Metronidazole","Tab 200 mg","161301","Antitrichomonal Agents","1613","Antitrichomonal Agents","16","Infections - Agents for Systemic Use","tab",87.0979759436778
"182002","1820","Metronidazole","Tab 400 mg","161301","Antitrichomonal Agents","1613","Antitrichomonal Agents","16","Infections - Agents for Systemic Use","tab",95.8445145802048
"182201","1822","Metyrapone","Cap 250 mg","142101","Other Endocrine Agents","1421","Other Endocrine Agents","14","Hormone Preparations - Systemic Excluding Contraceptive Hormones","cap",100
"182325","1823","Mexiletine hydrochloride","Cap 150 mg","71301","Antiarrhythmics","713","Antiarrhythmics","7","Cardiovascular System","cap",99.9468734084922
"182326","1823","Mexiletine hydrochloride","Cap 250 mg","71301","Antiarrhythmics","713","Antiarrhythmics","7","Cardiovascular System","cap",99.8304969828463
"182501","1825","Miconazole","Oral gel 20 mg per g","13107","Oropharyngeal Anti-infectives","131","Mouth and Throat","1","Alimentary Tract and Metabolism","g",98.2856046600858
"162003","1620","Miconazole nitrate","Crm 2%","100701","Antifungals Topical","1007","Antifungals Topical","10","Dermatologicals","g",100
"162001","1620","Miconazole nitrate","Lotn 2%","100701","Antifungals Topical","1007","Antifungals Topical","10","Dermatologicals","ml",100
"162002","1620","Miconazole nitrate","Tinct 2%","100701","Antifungals Topical","1007","Antifungals Topical","10","Dermatologicals","ml",100
"162006","1620","Miconazole nitrate","Vaginal crm 2% with applicator","131001","Gynaecological Anti-infectives","1310","Gynaecological Anti-infectives","13","Genito-Urinary System","g",98.3700269262336
"253902","2539","Midazolam","Inj 1 mg per ml, 5 ml ampoule","222801","Sedatives and Hypnotics","2228","Sedatives and Hypnotics","22","Nervous System","inj",11.5042769711647
"253925","2539","Midazolam","Inj 1 mg per ml, 5 ml plastic ampoule","222801","Sedatives and Hypnotics","2228","Sedatives and Hypnotics","22","Nervous System","inj",47.3642006597808
"253927","2539","Midazolam","Inj 5 mg per ml, 1 ml plastic ampoule","222801","Sedatives and Hypnotics","2228","Sedatives and Hypnotics","22","Nervous System","inj",92.3107115488851
"253903","2539","Midazolam","Inj 5 mg per ml, 3 ml ampoule ","222801","Sedatives and Hypnotics","2228","Sedatives and Hypnotics","22","Nervous System","inj",83.5579929030177
"253926","2539","Midazolam","Inj 5 mg per ml, 3 ml plastic ampoule ","222801","Sedatives and Hypnotics","2228","Sedatives and Hypnotics","22","Nervous System","inj",91.6845148738422
"253901","2539","Midazolam","Tab 7.5 mg","222801","Sedatives and Hypnotics","2228","Sedatives and Hypnotics","22","Nervous System","tab",100
"101201","1012","Midodrine","Tab 2.5 mg","71501","Antihypotensives","715","Antihypotensives","7","Cardiovascular System","tab",99.9975086937247
"101202","1012","Midodrine","Tab 5 mg","71501","Antihypotensives","715","Antihypotensives","7","Cardiovascular System","tab",100
"419925","4199","Midostaurin","Cap 25 mg","250109","Protein-tyrosine Kinase Inhibitors","2501","Chemotherapeutic Agents","25","Oncology Agents and Immunosuppressants","cap",100
"412925","4129","Mifepristone","Tab 200 mg","132501","Antiprogesterones","1325","Obstetric Preparations","13","Genito-Urinary System","tab",44.6847073631215
"182802","1828","Minocycline hydrochloride","Cap 100 mg","160310","Tetracyclines","1603","Antibacterials","16","Infections - Agents for Systemic Use","cap",99.8594413981899
"182801","1828","Minocycline hydrochloride","Tab 50 mg","160310","Tetracyclines","1603","Antibacterials","16","Infections - Agents for Systemic Use","tab",99.9974239959196
"245102","2451","Minoxidil","Tab 10 mg","74001","Vasodilators","740","Vasodilators","7","Cardiovascular System","tab",99.9627405579532
"390125","3901","Mirtazapine","Tab 30 mg","220509","Other Antidepressants","2205","Antidepressants","22","Nervous System","tab",99.9691861789741
"390126","3901","Mirtazapine","Tab 45 mg","220509","Other Antidepressants","2205","Antidepressants","22","Nervous System","tab",99.9755651764902
"254601","2546","Misoprostol","Tab 200 mcg","11001","Antisecretory and Cytoprotective","110","Antiulcerants","1","Alimentary Tract and Metabolism","tab",71.6868461799917
"263802","2638","Moclobemide","Tab 150 mg","220505","Monoamine-Oxidase Type A Inhibitors","2205","Antidepressants","22","Nervous System","tab",99.9962851293901
"263803","2638","Moclobemide","Tab 300 mg","220505","Monoamine-Oxidase Type A Inhibitors","2205","Antidepressants","22","Nervous System","tab",99.9998259093841
"393525","3935","Modafinil","Tab 100 mg","223101","Stimulants/ADHD Treatments","2231","Stimulants/ADHD Treatments","22","Nervous System","tab",100
"415725","4157","Molnupiravir","Cap 200 mg","161917","COVID-19 Treatments","1619","Antivirals","16","Infections - Agents for Systemic Use","cap",100
