"Type","TG2ID","TherapeuticGrp2","District","YearDisp","NumDisps","NumPpl","NHIComp"
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","Bay of Plenty",2021,"9","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","Capital & Coast",2021,"<6","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","Counties Manukau",2021,"<6","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","MidCentral",2021,"7","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","Northland",2021,"<6","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","South Canterbury",2021,"<6","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","Taranaki",2021,"<6","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","Waikato",2021,"24","9",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","New Zealand",2021,"53","21",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","Auckland",2022,"<6","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","Bay of Plenty",2022,"<6","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","Counties Manukau",2022,"<6","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","Hawke's Bay",2022,"<6","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","Lakes",2022,"<6","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","MidCentral",2022,"<6","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","Northland",2022,"<6","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","South Canterbury",2022,"<6","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","Waikato",2022,"25","9",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","Waitemata",2022,"12","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","Whanganui",2022,"<6","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","New Zealand",2022,"58","23",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","Auckland",2023,"<6","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","Bay of Plenty",2023,"<6","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","Counties Manukau",2023,"12","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","Hawke's Bay",2023,"<6","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","Lakes",2023,"<6","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","MidCentral",2023,"<6","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","Nelson Marlborough",2023,"6","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","Northland",2023,"<6","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","South Canterbury",2023,"<6","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","Taranaki",2023,"<6","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","Waikato",2023,"23","11",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","Waitemata",2023,"<6","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","New Zealand",2023,"66","29",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","Auckland",2024,"<6","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","Counties Manukau",2024,"7","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","Hawke's Bay",2024,"<6","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","Lakes",2024,"<6","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","MidCentral",2024,"<6","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","Nelson Marlborough",2024,"<6","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","Northland",2024,"<6","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","South Canterbury",2024,"<6","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","Taranaki",2024,"<6","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","Waikato",2024,"22","11",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","Waitemata",2024,"9","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","New Zealand",2024,"63","27",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","Bay of Plenty",2025,"<6","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","Counties Manukau",2025,"12","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","Hawke's Bay",2025,"7","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","MidCentral",2025,"<6","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","Nelson Marlborough",2025,"<6","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","South Canterbury",2025,"<6","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","Taranaki",2025,"<6","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","Waikato",2025,"13","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","Waitemata",2025,"8","<6",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","New Zealand",2025,"54","20",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Auckland",2021,"9750","1704",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Bay of Plenty",2021,"7087","1201",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Canterbury",2021,"17813","2957",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Capital & Coast",2021,"6805","1036",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Counties Manukau",2021,"10051","1744",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Hawke's Bay",2021,"4004","773",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Hutt Valley",2021,"3550","577",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Lakes",2021,"2381","428",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","MidCentral",2021,"5039","828",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Nelson Marlborough",2021,"4983","872",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Northland",2021,"5196","988",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","South Canterbury",2021,"1880","348",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Southern",2021,"8630","1606",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Tairawhiti",2021,"1098","181",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Taranaki",2021,"3276","611",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Waikato",2021,"10208","1832",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Wairarapa",2021,"1472","264",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Waitemata",2021,"13329","2273",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","West Coast",2021,"1149","217",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Whanganui",2021,"1735","330",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","New Zealand",2021,"119436","20770",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Auckland",2022,"9932","1707",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Bay of Plenty",2022,"7299","1191",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Canterbury",2022,"18038","3030",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Capital & Coast",2022,"7072","1047",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Counties Manukau",2022,"10389","1768",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Hawke's Bay",2022,"4007","784",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Hutt Valley",2022,"3645","583",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Lakes",2022,"2216","415",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","MidCentral",2022,"5170","838",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Nelson Marlborough",2022,"5378","878",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Northland",2022,"4953","973",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","South Canterbury",2022,"2012","344",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Southern",2022,"8741","1586",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Tairawhiti",2022,"1126","196",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Taranaki",2022,"3492","656",100
